id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Frequency,Monetary,F_Score,M_Score
1,38,Female,99342,90,3,24,Groceries,113.53,24,113.53,3,1
2,21,Female,78852,60,2,42,Sports,41.93,42,41.93,5,1
3,60,Female,126573,30,2,28,Clothing,424.36,28,424.36,3,3
4,40,Other,47099,74,9,5,Home & Garden,991.93,5,991.93,1,5
5,65,Female,140621,21,3,25,Electronics,347.08,25,347.08,3,2
6,31,Other,57305,24,3,30,Home & Garden,86.85,30,86.85,3,1
7,19,Other,54319,68,5,43,Clothing,191.72,43,191.72,5,2
8,43,Male,108115,94,9,27,Groceries,734.56,27,734.56,3,4
9,53,Male,34424,29,6,7,Sports,951.71,7,951.71,1,5
10,55,Female,45839,55,7,2,Electronics,821.18,2,821.18,1,5
11,23,Other,69659,16,7,24,Clothing,434.97,24,434.97,3,3
12,68,Other,30058,91,1,49,Groceries,889.94,49,889.94,5,5
13,29,Female,87461,81,3,27,Home & Garden,101.07,27,101.07,3,1
14,64,Other,33018,46,4,3,Sports,221.35,3,221.35,1,2
15,33,Male,112260,17,5,8,Home & Garden,915.89,8,915.89,1,5
16,53,Male,129284,17,6,26,Clothing,225.4,26,225.4,3,2
17,57,Male,102535,29,5,13,Clothing,378.47,13,378.47,2,2
18,22,Male,41849,22,1,31,Sports,844.08,31,844.08,3,5
19,37,Male,95491,90,6,21,Home & Garden,454.83,21,454.83,2,3
20,31,Male,97103,70,3,17,Groceries,61.3,17,61.3,2,1
21,19,Female,82519,13,4,4,Home & Garden,742.39,4,742.39,1,4
22,22,Male,49077,74,10,47,Home & Garden,799.31,47,799.31,5,4
23,36,Other,85473,68,1,16,Sports,806.55,16,806.55,2,5
24,41,Other,81758,87,7,9,Clothing,482.2,9,482.2,1,3
25,69,Female,36140,78,5,39,Sports,508.86,39,508.86,4,3
26,33,Other,141757,60,10,39,Groceries,83.27,39,83.27,4,1
27,54,Male,35394,10,9,4,Groceries,124.29,4,124.29,1,1
28,30,Female,50680,19,7,27,Sports,515.88,27,515.88,3,3
29,18,Female,70721,78,7,1,Home & Garden,191.9,1,191.9,1,2
30,23,Male,104106,30,4,20,Electronics,950.56,20,950.56,2,5
31,36,Other,76756,16,8,27,Clothing,970.06,27,970.06,3,5
32,60,Female,45733,69,2,18,Electronics,197.29,18,197.29,2,2
33,29,Male,71951,2,6,47,Electronics,91.94,47,91.94,5,1
34,44,Other,86593,89,4,37,Groceries,76.95,37,76.95,4,1
35,45,Other,43138,54,10,48,Sports,639.22,48,639.22,5,4
36,30,Female,73464,37,1,6,Clothing,532.51,6,532.51,1,3
37,47,Male,108074,78,4,38,Electronics,128.2,38,128.2,4,1
38,48,Other,81794,89,7,50,Electronics,967.99,50,967.99,5,5
39,31,Female,75392,43,4,29,Sports,88.44,29,88.44,3,1
40,22,Male,107057,14,5,41,Home & Garden,98.86,41,98.86,4,1
41,23,Male,70723,31,1,48,Home & Garden,713.33,48,713.33,5,4
42,52,Male,115529,70,2,34,Clothing,192.66,34,192.66,4,2
43,35,Male,72179,6,6,45,Home & Garden,165.18,45,165.18,5,1
44,28,Other,62405,79,5,50,Home & Garden,956.73,50,956.73,5,5
45,50,Male,42404,45,4,31,Home & Garden,753.6,31,753.6,3,4
46,49,Other,94531,28,5,42,Clothing,214.93,42,214.93,5,2
47,56,Male,129005,40,6,8,Electronics,355.34,8,355.34,1,2
48,48,Male,76317,94,9,3,Electronics,189.28,3,189.28,1,2
49,19,Other,85309,65,5,10,Sports,28.55,10,28.55,1,1
50,68,Female,146519,96,2,18,Groceries,673.79,18,673.79,2,4
51,61,Female,61290,83,9,35,Clothing,110.32,35,110.32,4,1
52,24,Female,96082,83,4,36,Sports,589.35,36,589.35,4,3
53,45,Other,134241,73,9,16,Groceries,893.44,16,893.44,2,5
54,33,Female,45136,84,9,38,Home & Garden,332.34,38,332.34,4,2
